year,metric,value
2024-2025,applied,110807
2024-2025,admitted,10232
2024-2025,enrolled,5666
2023-2024,applied,113578.0
2023-2024,admitted,10693.0
2023-2024,enrolled,5818.0
2019-2020,applied,79462
2019-2020,admitted,12873
2019-2020,enrolled,5752
