year,metric,value
2025-2026,rate_6yr_pct,92.0
2025-2026,freshman_retention_rate_pct,98.0
2024-2025,rate_6yr_pct,93.0
2024-2025,freshman_retention_rate_pct,98.4
2017-2018,rate_6yr_pct,92.0
2017-2018,freshman_retention_rate_pct,97.0
2010-2011,rate_6yr_pct,95.0
2010-2011,freshman_retention_rate_pct,97.0
