year,metric,value
2025-2026,student_faculty_ratio,7.9:1
2025-2026,total_instructional_faculty,1060
2024-2025,student_faculty_ratio,6.3:1
2024-2025,total_instructional_faculty,951
2017-2018,student_faculty_ratio,7.3:1
2017-2018,total_instructional_faculty,781
2010-2011,student_faculty_ratio,7.8:1
2010-2011,total_instructional_faculty,682
2003-2004,student_faculty_ratio,8.7
2003-2004,total_instructional_faculty,603
