year,category,male,female,unknown
2024-2025,undergrad_total,3032,3940,152
2024-2025,graduate_FT_total,1983,3411,61
2024-2025,graduate_total,2441,3936,78
2024-2025,total_undergraduates,7126,,
2024-2025,total_graduate,6473,,
2024-2025,grand_total,13599,,
2023-2024,undergrad_total,2910.0,106.0,3775.0
2023-2024,graduate_total,1933.0,503.0,3335.0
2018-2019,total_undergraduates,5643,,
2018-2019,total_graduate,5943,,
2018-2019,grand_total,11586,,
