year,metric,value
2024-2025,applied,33144
2024-2025,admitted,3822
2024-2025,enrolled,1733
2023-2024,applied,34003.0
2023-2024,admitted,3444.0
2023-2024,enrolled,1739.0
2018-2019,applied,21501
2018-2019,admitted,3143
2018-2019,enrolled,1484
