year,expense,amount
2024-2025,tuition_first_year,71982
2024-2025,tuition_out_of_state,1634
2024-2025,required_fees,1634
2024-2025,food_and_housing,19566
2024-2025,housing_only,10660
2024-2025,food_only,8906
2018-2019,tuition_first_year,57324
2018-2019,tuition_in_state,238
2018-2019,tuition_out_of_state,1254
2018-2019,room_and_board,1536
