year,metric,sex,value
2024-2025,applied,male,36810
2024-2025,applied,female,45190
2024-2025,admitted,male,3928
2024-2025,admitted,female,4117
2024-2025,enrolled,male,1623
2024-2025,enrolled,female,1866
2022-2023,applied,male,30712
2022-2023,applied,female,38350
2022-2023,admitted,male,3872
2022-2023,admitted,female,4432
2022-2023,enrolled,male,1573
2022-2023,enrolled,female,1847
