year,metric,value
2024-2025,applied,10454
2024-2025,admitted,4234
2024-2025,enrolled,739
2023-2024,applied,11282
2023-2024,admitted,3986
2023-2024,enrolled,865
2021-2022,applied,9796
2021-2022,admitted,3834
2021-2022,enrolled,943
