year,metric,value
2024-2025,student_faculty_ratio,9:1
2024-2025,total_instructional_faculty,512
2023-2024,student_faculty_ratio,10:1
2023-2024,total_instructional_faculty,553
2021-2022,student_faculty_ratio,10:1
2021-2022,total_instructional_faculty,565
