year,category,male,female,unknown
2024-2025,undergrad_FT_total,12399,17925,589
2024-2025,undergrad_PT_total,339,419,19
2024-2025,undergrad_total,12738,18344,608
2024-2025,graduate_FT_total,2909,3747,417
2024-2025,graduate_PT_total,255,299,33
2024-2025,graduate_total,3164,4046,450
2024-2025,total_undergraduates,32273,,
2024-2025,total_graduate,7792,,
2024-2025,grand_total,40065,,
2020-2021,total_undergraduates,31162,,
2020-2021,total_graduate,7913,,
2020-2021,grand_total,39075,,
