year,metric,value
2024-2025,applied,93975
2024-2025,admitted,39206
2024-2025,enrolled,6513
2023-2024,applied,94627.0
2023-2024,admitted,39399.0
2023-2024,enrolled,6581.0
2020-2021,applied,76225
2020-2021,admitted,35304
2020-2021,enrolled,6137
