year,metric,value
2024-2025,student_faculty_ratio,22:1
2024-2025,total_instructional_faculty,2083
2023-2024,student_faculty_ratio,21:1
2023-2024,total_instructional_faculty,2175
2020-2021,student_faculty_ratio,20:1
2020-2021,total_instructional_faculty,2284
