year,category,male,female,unknown
2024-2025,undergrad_FT_total,775,,
2024-2025,undergrad_PT_total,1,,
2024-2025,undergrad_total,776,,
2024-2025,graduate_FT_total,0,,
2024-2025,graduate_PT_total,0,,
2024-2025,graduate_total,0,,
2024-2025,total_undergraduates,1623,,
2024-2025,total_graduate,0,,
2024-2025,grand_total,1623,,
2024-2025,FT_first_time_first_year,203,,
2023-2024,total_undergraduates,1644,,
2023-2024,total_graduate,0,,
2023-2024,grand_total,1644,,
