year,expense,amount
2024-2025,tuition_first_year,65494
2024-2025,books_supplies,790
2023-2024,tuition_first_year,65058
2023-2024,required_fees,436
2023-2024,food_and_housing,20308
2023-2024,housing_only,10478
2023-2024,food_only,9830
2023-2024,books_supplies,760
2023-2024,transportation,1640
2023-2024,other_expenses,1640
