year,category,male,female,unknown
2023-2024,total_undergraduates,36588,,
2023-2024,total_graduate,14029,,
2023-2024,grand_total,50617,,
2022-2023,total_undergraduates,36344,,
2022-2023,total_graduate,14293,,
2022-2023,grand_total,50637,,
2012-2013,total_undergraduates,43967,,
2012-2013,total_graduate,14821,,
2012-2013,grand_total,58788,,
