year,metric,value
2023-2024,rate_6yr_pct,81.1
2023-2024,freshman_retention_rate_pct,93.0
2022-2023,rate_6yr_pct,80.5
2022-2023,freshman_retention_rate_pct,92.0
2012-2013,rate_6yr_pct,75.4
2012-2013,freshman_retention_rate_pct,91.0
