year,metric,value
2024-2025,applied,73555
2024-2025,admitted,17802
2024-2025,enrolled,7511
2023-2024,applied,65375
2023-2024,admitted,15707
2023-2024,enrolled,6762
2018-2019,applied,38905
2018-2019,admitted,15077
2018-2019,enrolled,6801
