year,category,male,female,unknown
2024-2025,undergrad_total,34454,15145,775
2024-2025,graduate_total,18401,7699,1378
2024-2025,grand_total,52855,,
2023-2024,total_undergraduates,33730,,
2023-2024,total_graduate,18335,,
2023-2024,grand_total,52065,,
2020-2021,total_undergraduates,31329,,
2020-2021,total_graduate,16578,,
2020-2021,grand_total,47907,,
