year,metric,value
2023-2024,avg_need_based_grant_award,65777
2023-2024,avg_need_based_loan,2266
2023-2024,avg_financial_aid_package,72252
2019-2020,avg_need_based_grant_award,51449
2019-2020,avg_need_based_loan,3440
2019-2020,avg_financial_aid_package,54751
