year,expense,amount
2020-2021,tuition_first_year,1826
2020-2021,tuition_in_state,11442
2020-2021,tuition_out_of_state,41196
2020-2021,tuition_nonresident,41196
2020-2021,room_only,1666
2020-2021,room_and_board,16667
