year,metric,value
2024-2025,student_faculty_ratio,10:1
2024-2025,total_instructional_faculty,906
2023-2024,student_faculty_ratio,9.8:1
2023-2024,total_instructional_faculty,885
2018-2019,student_faculty_ratio,10:1
2018-2019,total_instructional_faculty,277
