year,metric,value
2024-2025,applied,59243
2024-2025,admitted,2273
2024-2025,enrolled,1455
2023-2024,applied,55939
2023-2024,admitted,2229
2023-2024,enrolled,1422
2022-2023,applied,58967
2022-2023,admitted,2201
2022-2023,enrolled,1426
2021-2022,applied,60551
2021-2022,admitted,2355
2021-2022,enrolled,1560
