year,metric,sex,value
2024-2025,applied,male,13792
2024-2025,applied,female,20814
2024-2025,admitted,male,1558
2024-2025,admitted,female,2004
2024-2025,enrolled,male,631
2024-2025,enrolled,female,807
2023-2024,applied,male,13077.0
2023-2024,applied,female,20178.0
2023-2024,admitted,male,1586.0
2023-2024,admitted,female,1957.0
2023-2024,enrolled,male,637.0
2023-2024,enrolled,female,789.0
