year,expense,amount
2024-2025,tuition_first_year,67080
2024-2025,tuition_in_state,68056
2024-2025,tuition_out_of_state,68056
2024-2025,required_fees,976
2024-2025,food_and_housing,21244
2024-2025,housing_only,12498
2024-2025,food_only,8746
2024-2025,books_supplies,1274
2024-2025,transportation,1088
2024-2025,other_expenses,1602
