year,category,male,female,unknown
2024-2025,undergrad_FT_total,3167,4145,0
2024-2025,undergrad_PT_total,36,59,0
2024-2025,undergrad_total,3203,4204,
2024-2025,graduate_FT_total,2202,4131,0
2024-2025,graduate_PT_total,576,863,0
2024-2025,graduate_total,2778,4994,
2024-2025,total_undergraduates,7407,,
2024-2025,total_graduate,7772,,
2024-2025,grand_total,15179,,
2023-2024,undergrad_total,3120.0,38.0,4143.0
2023-2024,graduate_total,2166.0,559.0,4136.0
