year,metric,value
2024-2025,applied,51795
2024-2025,admitted,2957
2024-2025,enrolled,1740
2023-2024,applied,46333
2023-2024,admitted,3145
2023-2024,enrolled,1742
2021-2022,applied,49523
2021-2022,admitted,2921
2021-2022,enrolled,1744
2020-2021,applied,39603
2020-2021,admitted,3085
2020-2021,enrolled,1584
