year,metric,value
2024-2025,rate_6yr_pct,86.0
2024-2025,freshman_retention_rate_pct,98.0
2021-2022,rate_6yr_pct,87.0
2021-2022,freshman_retention_rate_pct,97.3
2020-2021,rate_6yr_pct,86.11
2020-2021,freshman_retention_rate_pct,96.72
