year,metric,value
2024-2025,applied,59787
2024-2025,admitted,8413
2024-2025,enrolled,3850
2021-2022,applied,45388
2021-2022,admitted,8308
2021-2022,enrolled,3471
2020-2021,applied,40852
2020-2021,admitted,8719
2020-2021,enrolled,3260
