school,year,metric,value
nyu,2019-2020,student_faculty_ratio,9:1
nyu,2019-2020,total_instructional_faculty,6658
ohio_state,2020-2021,student_faculty_ratio,19:1
ohio_state,2020-2021,total_instructional_faculty,5933
penn,2024-2025,student_faculty_ratio,8:1
penn,2024-2025,total_instructional_faculty,1920
penn,2023-2024,student_faculty_ratio,8:1
penn,2023-2024,total_instructional_faculty,1913
penn,2022-2023,student_faculty_ratio,8:1
penn,2022-2023,total_instructional_faculty,1875
penn,2021-2022,student_faculty_ratio,7:1
penn,2021-2022,total_instructional_faculty,1847
penn,2020-2021,student_faculty_ratio,6:1
penn,2020-2021,total_instructional_faculty,1910
penn,2019-2020,student_faculty_ratio,6:1
penn,2019-2020,total_instructional_faculty,1960
penn,2018-2019,student_faculty_ratio,6:1
penn,2018-2019,total_instructional_faculty,2039
penn,2017-2018,student_faculty_ratio,6:1
penn,2017-2018,total_instructional_faculty,2028
