year,category,male,female,unknown
2025-2026,undergrad_total,3552,3624,3
2025-2026,graduate_total,1778,2036,4
2025-2026,total_undergraduates,7951,,
2025-2026,total_graduate,3988,,
2025-2026,grand_total,11939,,
