year,metric,value
2024-2025,avg_need_based_grant_award,78383
2024-2025,avg_financial_aid_package,82308
2023-2024,avg_need_based_grant_award,67505
2023-2024,avg_financial_aid_package,73527
2022-2023,avg_need_based_grant_award,65176
2022-2023,avg_financial_aid_package,68901
2021-2022,avg_need_based_grant_award,58951
2021-2022,avg_financial_aid_package,63056
