year,metric,value
2024-2025,student_faculty_ratio,5:1
2024-2025,total_instructional_faculty,2007
2023-2024,student_faculty_ratio,5:1
2023-2024,total_instructional_faculty,1927
2022-2023,student_faculty_ratio,5:1
2022-2023,total_instructional_faculty,1896
2021-2022,student_faculty_ratio,5:1
2021-2022,total_instructional_faculty,1844
