year,metric,value
2024-2025,student_faculty_ratio,1
2024-2025,total_instructional_faculty,1771
2023-2024,student_faculty_ratio,19:1
2023-2024,total_instructional_faculty,1714
2019-2020,student_faculty_ratio,19:1
2019-2020,total_instructional_faculty,1515
