year,metric,value
2024-2025,applied,128178
2024-2025,admitted,34246
2024-2025,enrolled,7085
2023-2024,applied,130845
2023-2024,admitted,32403
2023-2024,enrolled,7007
2019-2020,applied,99133
2019-2020,admitted,32062
2019-2020,enrolled,6023
