year,metric,value
2024-2025,rate_6yr_pct,82.0
2024-2025,freshman_retention_rate_pct,94.0
2023-2024,rate_6yr_pct,83.0
2019-2020,rate_6yr_pct,84.8
2019-2020,freshman_retention_rate_pct,93.4
