year,metric,sex,value
2024-2025,applied,male,27252
2024-2025,applied,female,31685
2024-2025,admitted,male,4382
2024-2025,admitted,female,5527
2024-2025,enrolled,male,1718
2024-2025,enrolled,female,2243
