year,metric,sex,value
2023-2024,applied,male,11425
2023-2024,applied,female,14209
2023-2024,admitted,male,9346
2023-2024,admitted,female,12359
2023-2024,enrolled,male,2072
2023-2024,enrolled,female,2954
2019-2020,applied,male,11595
2019-2020,applied,female,14333
2019-2020,admitted,male,9252
2019-2020,admitted,female,12152
2019-2020,enrolled,male,2137
2019-2020,enrolled,female,2849
