year,category,male,female,unknown
2022-2023,graduate_total,2982,3911,17
2022-2023,total_undergraduates,40407,,
2019-2020,total_undergraduates,35801,,
2019-2020,total_graduate,10117,,
2019-2020,grand_total,45918,,
