year,metric,sex,value
2022-2023,applied,male,23397
2022-2023,applied,female,28706
2022-2023,admitted,male,19866
2022-2023,admitted,female,25329
2022-2023,enrolled,male,3830
2022-2023,enrolled,female,5239
2019-2020,applied,male,17880
2019-2020,applied,female,22974
2019-2020,admitted,male,14856
2019-2020,admitted,female,19702
2019-2020,enrolled,male,3281
2019-2020,enrolled,female,4402
