year,metric,value
2024-2025,rate_6yr_pct,90.0
2024-2025,freshman_retention_rate_pct,96.9
2023-2024,rate_6yr_pct,89.2
2020-2021,rate_6yr_pct,90.2
2020-2021,freshman_retention_rate_pct,96.79
