year,category,male,female,unknown
2023-2024,undergrad_total,20698.0,1969.0,21285.0
2023-2024,graduate_total,4008.0,1957.0,5953.0
2020-2021,total_undergraduates,46984,,
2020-2021,total_graduate,14385,,
2020-2021,grand_total,61369,,
