year,metric,value
2025-2026,applied,42303
2025-2026,admitted,1868
2025-2026,enrolled,1408
2024-2025,applied,40446
2024-2025,admitted,1868
2024-2025,enrolled,1410
2023-2024,applied,39644
2023-2024,admitted,1782
2023-2024,enrolled,1366
2017-2018,applied,31056
2017-2018,admitted,1990
2017-2018,enrolled,1306
2010-2011,applied,26247
2010-2011,admitted,2311
2010-2011,enrolled,1312
