year,metric,value
2025-2026,rate_6yr_pct,98.0
2025-2026,freshman_retention_rate_pct,99.0
2024-2025,rate_6yr_pct,97.0
2024-2025,freshman_retention_rate_pct,98.0
2023-2024,rate_6yr_pct,96.6
2023-2024,freshman_retention_rate_pct,97.0
2017-2018,rate_6yr_pct,94.79
2017-2018,freshman_retention_rate_pct,98.0
2010-2011,rate_6yr_pct,96.0
2010-2011,freshman_retention_rate_pct,98.0
