year,metric,value
2024-2025,applied,65582
2024-2025,admitted,5516
2024-2025,enrolled,3525
2023-2024,applied,67846.0
2023-2024,admitted,5358.0
2023-2024,enrolled,3537.0
2017-2018,applied,47039
2017-2018,admitted,5962
2017-2018,enrolled,3349
2010-2011,applied,36338
2010-2011,admitted,6673
2010-2011,enrolled,3178
2008-2009,applied,33073
2008-2009,admitted,6834
2008-2009,enrolled,3139
