year,category,male,female,unknown
2022-2023,total_undergraduates,41745,,
2022-2023,total_graduate,7020,,
2022-2023,grand_total,48765,,
2019-2020,total_undergraduates,40639,,
2019-2020,total_graduate,6584,,
2019-2020,grand_total,47223,,
