year,metric,value
2022-2023,avg_need_based_grant_award,7445
2022-2023,avg_need_based_loan,3442
2022-2023,avg_financial_aid_package,10885
2019-2020,avg_need_based_grant_award,6517
2019-2020,avg_need_based_loan,3435
2019-2020,avg_financial_aid_package,10346
